Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds),Is Popup
15681,Safari,Unknown,2024-06-24 12:18:52,2024-06-24 12:18:57,5.033553838729858,No
16487,Google Earth Pro,Unknown,2024-06-24 12:19:16,2024-06-24 12:19:18,2.010906934738159,No
16419,Code,Unknown,2024-06-24 12:18:31,2024-06-24 12:20:04,93.06576800346375,No
15677,Safari,Unknown,2024-06-24 12:18:31,2024-06-24 12:20:04,93.06910705566406,No
16494,Google Earth Pro,Unknown,2024-06-24 12:19:17,2024-06-24 12:20:04,47.773107051849365,No
16513,Google Earth Pro,Unknown,2024-06-24 12:19:52,2024-06-24 12:20:04,12.545360088348389,No
Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds),Is Popup
16419,Code,Unknown,2024-06-24 12:21:03,2024-06-24 12:21:20,17.104671239852905,No
16513,Google Earth Pro,Unknown,2024-06-24 12:21:03,2024-06-24 12:21:20,17.104711055755615,No
16494,Google Earth Pro,Unknown,2024-06-24 12:21:03,2024-06-24 12:21:20,17.104722023010254,No
15677,Safari,Unknown,2024-06-24 12:21:03,2024-06-24 12:21:20,17.10473084449768,No
Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds),Is Popup
16419,Code,Unknown,2024-06-24 12:25:19,2024-06-24 12:25:51,32.07329797744751,No
15677,Safari,Unknown,2024-06-24 12:25:19,2024-06-24 12:25:51,32.07351493835449,No
16513,Google Earth Pro,Unknown,2024-06-24 12:25:19,2024-06-24 12:25:51,32.07353901863098,No
16494,Google Earth Pro,Unknown,2024-06-24 12:25:19,2024-06-24 12:25:51,32.07355809211731,No
